dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,1024,adadelta,100,20.636666666666667,96.64954676623941
cifar100,shufflenetv2,1024,adadelta,125,12.15,120.30340999992477
cifar100,shufflenetv2,1024,adadelta,150,10.916666666666666,141.8930590050345
cifar100,shufflenetv2,1024,adadelta,175,10.376666666666667,162.35971059057832
cifar100,shufflenetv2,1024,adadelta,200,10.123333333333335,181.73354114396162
cifar100,shufflenetv2,1024,adadelta,225,9.910000000000002,200.19160801420168
cifar100,shufflenetv2,1024,adadelta,250,9.806666666666667,217.8690875201206
cifar100,shufflenetv2,1024,adadelta,260,9.506666666666668,224.60768952798958
cifar100,shufflenetv2,128,adadelta,100,29.650000000000002,95.14889313741892
cifar100,shufflenetv2,128,adadelta,125,26.47,118.60913640075427
cifar100,shufflenetv2,128,adadelta,150,26.30333333333333,135.07465653021163
cifar100,shufflenetv2,128,adadelta,175,26.13,149.3269534500622
cifar100,shufflenetv2,128,adadelta,200,25.683333333333334,155.2397120911872
cifar100,shufflenetv2,128,adadelta,225,25.74,150.87366671834522
cifar100,shufflenetv2,128,adadelta,250,28.116666666666664,133.75753312971892
cifar100,shufflenetv2,128,adadelta,260,27.189999999999998,137.8183139694388
cifar100,shufflenetv2,16,adadelta,100,183.83333333333334,72.6439462645823
cifar100,shufflenetv2,16,adadelta,125,172.14,72.99467509642679
cifar100,shufflenetv2,16,adadelta,150,203.27999999999997,71.95164774558536
cifar100,shufflenetv2,16,adadelta,175,185.59666666666666,72.37462672209597
cifar100,shufflenetv2,16,adadelta,200,192.41666666666666,72.3692828663209
cifar100,shufflenetv2,16,adadelta,225,207.9333333333333,71.93100483966676
cifar100,shufflenetv2,16,adadelta,250,193.25666666666666,72.53060317022272
cifar100,shufflenetv2,16,adadelta,260,197.77666666666667,72.10447948489652
cifar100,shufflenetv2,2048,adadelta,100,24.159999999999997,93.52629209437791
cifar100,shufflenetv2,2048,adadelta,125,12.676666666666668,119.14762100062683
cifar100,shufflenetv2,2048,adadelta,150,11.026666666666666,139.62084634249888
cifar100,shufflenetv2,2048,adadelta,175,10.433333333333334,159.6442901761885
cifar100,shufflenetv2,2048,adadelta,200,10.143333333333333,178.3689316491604
cifar100,shufflenetv2,2048,adadelta,225,9.889999999999999,197.49823603755073
cifar100,shufflenetv2,2048,adadelta,250,9.826666666666666,213.37086188923016
cifar100,shufflenetv2,2048,adadelta,260,9.679999999999998,218.99346790145373
cifar100,shufflenetv2,256,adadelta,100,17.75333333333333,97.18297575110408
