stage,instruction,frequency,time,energy
0,forward,1740,0.13344467067718507,39.136634999871255
0,backward,1740,0.248327154636383,73.09727099919319
0,forward,1725,0.13608023071289058,39.865455000042914
0,backward,1725,0.24895885562896725,72.98716499948502
0,forward,1710,0.13126771259307854,38.61929699993133
0,backward,1710,0.24898950576782225,73.34954999935628
0,forward,1695,0.1365671224594116,40.11893100035191
0,backward,1695,0.2489239075183868,73.37834100043774
0,forward,1680,0.13103045296669008,38.73535200083255
0,backward,1680,0.2490345754623413,73.30554899990558
0,forward,1665,0.13414595246315003,39.300974999785424
0,backward,1665,0.2489932458400726,73.13589000034332
0,forward,1650,0.13279995560646057,39.237434999227524
0,backward,1650,0.2491478826999664,73.20416400003434
0,forward,1635,0.1321822621822357,39.05808300054074
0,backward,1635,0.2491567511558533,73.08829799938201
0,forward,1620,0.13454529047012323,39.255894000291825
0,backward,1620,0.24901028966903688,73.20027599966525
0,forward,1605,0.13379055762290948,39.16502100026607
0,backward,1605,0.24915991401672363,73.02959100043773
0,forward,1590,0.1345424773693084,39.58397099983692
0,backward,1590,0.24940728449821464,72.9973710000515
0,forward,1575,0.13074827170372,38.750084999442095
0,backward,1575,0.24944638895988464,73.14750000000001
0,forward,1560,0.13088161611557,38.46690900063515
0,backward,1560,0.24942945456504817,72.67997700083257
0,forward,1545,0.1325951249599456,38.85829199945927
0,backward,1545,0.24918260550498963,72.27774000012874
0,forward,1530,0.13248763918876647,38.802347999811175
0,backward,1530,0.24974972748756405,71.97882300066946
0,forward,1515,0.13322418022155763,38.87951400089264
0,backward,1515,0.2500983502864837,71.85352499914168
0,forward,1500,0.13614084005355837,39.38178599953652
0,backward,1500,0.2499657225608825,71.70356700074674
0,forward,1485,0.13752970290184013,39.41909999978542
0,backward,1485,0.2512573692798615,71.42574600005149
0,forward,1470,0.13858404493331905,39.76217999982834
0,backward,1470,0.2517378945350647,71.29837799942494
0,forward,1455,0.13649460840225217,38.87743500030041
0,backward,1455,0.25205618906021116,71.26589699971676
0,forward,1440,0.14085423660278312,39.14994600069524
0,backward,1440,0.2526707046031952,70.59944700014591
0,forward,1425,0.14120013427734374,38.605976999759676
0,backward,1425,0.25369749927520746,69.99611399960517
0,forward,1410,0.14373005390167232,38.05921800041199
0,backward,1410,0.25482363224029536,69.05714400029183
0,forward,1395,0.14522152519226067,37.56643199980259
0,backward,1395,0.2560281972885131,67.58730000042915
0,forward,1380,0.1457759335041046,37.10049299955368
0,backward,1380,0.25733948421478264,66.50548200023175
0,forward,1365,0.14709081029891968,36.872720999836915
0,backward,1365,0.25872904658317564,66.43337399947643
0,forward,1350,0.1476359510421753,36.59514299976826
0,backward,1350,0.2601593999862671,65.63588400042057
0,forward,1335,0.14851200985908505,36.06290099966526
0,backward,1335,0.2615808355808258,64.89750599992274
0,forward,1320,0.14874023365974423,35.73350999987126
0,backward,1320,0.2631035814285278,64.5508710000515
0,forward,1305,0.15001402974128722,35.74327500021458
0,backward,1305,0.26461600613594055,64.61767799985408
0,forward,1290,0.14988193202018735,35.28760499918461
0,backward,1290,0.2661954753398895,64.01543399977683
0,forward,1275,0.15163235878944392,35.388341999888425
0,backward,1275,0.2677860810756683,63.6724439996481
0,forward,1260,0.15292484664916986,35.20257300066948
0,backward,1260,0.26936895775794983,63.02483099949361
0,forward,1245,0.15323966932296754,35.01382499957084
0,backward,1245,0.27105352020263673,62.5440689996481
0,forward,1230,0.15383813881874076,34.36778700006008
0,backward,1230,0.2727545642852783,61.684812000274654
0,forward,1215,0.15501871633529657,34.45460100030899
0,backward,1215,0.2748123292922974,61.23357899951935
0,forward,1200,0.15061714053153985,32.53058999991417
0,backward,1200,0.2766768035888672,59.39056800019741
0,forward,1185,0.15296100926399225,32.42708999991417
0,backward,1185,0.27883225035667414,58.75469999957083
0,forward,1170,0.1537325713634491,32.26377599966526
0,backward,1170,0.2809945034980774,58.4828189996481
0,forward,1155,0.15331258893012992,31.936239000678064
0,backward,1155,0.2833653166294098,57.98168099927902
0,forward,1140,0.15622598934173584,31.98089699971676
0,backward,1140,0.28578682565689084,57.88025999987125
0,forward,1125,0.15733998370170585,31.962195000171658
0,backward,1125,0.2883664605617523,58.13877600073814
0,forward,1110,0.15887249493598937,32.17616099953652
0,backward,1110,0.29104318499565124,58.15629899990559
0,forward,1095,0.15894743585586543,32.24886300015449
0,backward,1095,0.2937959704399108,58.47630299985409
0,forward,1080,0.16140378999710078,32.37034499931336
0,backward,1080,0.29664176845550533,58.58523000025749
0,forward,1065,0.15577256298065184,31.390469999313353
0,backward,1065,0.29958115410804753,58.71845700001717
0,forward,1050,0.1460960047245025,29.805390000343323
0,backward,1050,0.3026162323951721,58.83621299993992
0,forward,1035,0.14630132246017455,29.25778500008583
0,backward,1035,0.3057194666862488,58.896134999871244
0,forward,1020,0.14779401683807367,28.806236999630933
0,backward,1020,0.30891914033889767,59.11371900093557
0,forward,1005,0.1494451332092285,28.69050599992275
0,backward,1005,0.31223879241943353,59.369876999974245
0,forward,990,0.151209897994995,28.71251099932194
0,backward,990,0.3156674301624298,59.591412000060075
0,forward,975,0.15297733426094057,28.758005999922755
0,backward,975,0.31917787098884576,59.78354399943352
0,forward,960,0.15483730888366695,28.893024000763887
0,backward,960,0.32281686043739316,59.981480999708175
0,forward,945,0.15675824260711663,28.981502999424936
0,backward,945,0.32658450579643244,60.160796999931335
0,forward,930,0.15873533105850215,29.499687000274655
0,backward,930,0.3305133090019226,60.82059599983692
0,forward,915,0.16079755926132197,29.33144100022316
0,backward,915,0.33448525500297543,61.026291000008584
0,forward,900,0.1629276645183563,29.557089000463485
0,backward,900,0.3386513307094574,61.28369100022316
0,forward,885,0.16512318992614744,29.864501999974248
0,backward,885,0.342941725730896,61.70446800041198
0,forward,870,0.16740988898277276,29.911589999914167
0,backward,870,0.3474283468723297,61.75046699988841
0,forward,855,0.16975855994224545,29.952638999819754
0,backward,855,0.35200765442848203,61.91947800028324
1,forward,1740,0.13344467067718507,39.136634999871255
1,backward,1740,0.248327154636383,73.09727099919319
1,forward,1725,0.13608023071289058,39.865455000042914
1,backward,1725,0.24895885562896725,72.98716499948502
1,forward,1710,0.13126771259307854,38.61929699993133
1,backward,1710,0.24898950576782225,73.34954999935628
1,forward,1695,0.1365671224594116,40.11893100035191
1,backward,1695,0.2489239075183868,73.37834100043774
1,forward,1680,0.13103045296669008,38.73535200083255
1,backward,1680,0.2490345754623413,73.30554899990558
1,forward,1665,0.13414595246315003,39.300974999785424
1,backward,1665,0.2489932458400726,73.13589000034332
1,forward,1650,0.13279995560646057,39.237434999227524
1,backward,1650,0.2491478826999664,73.20416400003434
1,forward,1635,0.1321822621822357,39.05808300054074
1,backward,1635,0.2491567511558533,73.08829799938201
1,forward,1620,0.13454529047012323,39.255894000291825
1,backward,1620,0.24901028966903688,73.20027599966525
1,forward,1605,0.13379055762290948,39.16502100026607
1,backward,1605,0.24915991401672363,73.02959100043773
1,forward,1590,0.1345424773693084,39.58397099983692
1,backward,1590,0.24940728449821464,72.9973710000515
1,forward,1575,0.13074827170372,38.750084999442095
1,backward,1575,0.24944638895988464,73.14750000000001
1,forward,1560,0.13088161611557,38.46690900063515
1,backward,1560,0.24942945456504817,72.67997700083257
1,forward,1545,0.1325951249599456,38.85829199945927
1,backward,1545,0.24918260550498963,72.27774000012874
1,forward,1530,0.13248763918876647,38.802347999811175
1,backward,1530,0.24974972748756405,71.97882300066946
1,forward,1515,0.13322418022155763,38.87951400089264
1,backward,1515,0.2500983502864837,71.85352499914168
1,forward,1500,0.13614084005355837,39.38178599953652
1,backward,1500,0.2499657225608825,71.70356700074674
1,forward,1485,0.13752970290184013,39.41909999978542
1,backward,1485,0.2512573692798615,71.42574600005149
1,forward,1470,0.13858404493331905,39.76217999982834
1,backward,1470,0.2517378945350647,71.29837799942494
1,forward,1455,0.13649460840225217,38.87743500030041
1,backward,1455,0.25205618906021116,71.26589699971676
1,forward,1440,0.14085423660278312,39.14994600069524
1,backward,1440,0.2526707046031952,70.59944700014591
1,forward,1425,0.14120013427734374,38.605976999759676
1,backward,1425,0.25369749927520746,69.99611399960517
1,forward,1410,0.14373005390167232,38.05921800041199
1,backward,1410,0.25482363224029536,69.05714400029183
1,forward,1395,0.14522152519226067,37.56643199980259
1,backward,1395,0.2560281972885131,67.58730000042915
1,forward,1380,0.1457759335041046,37.10049299955368
1,backward,1380,0.25733948421478264,66.50548200023175
1,forward,1365,0.14709081029891968,36.872720999836915
1,backward,1365,0.25872904658317564,66.43337399947643
1,forward,1350,0.1476359510421753,36.59514299976826
1,backward,1350,0.2601593999862671,65.63588400042057
1,forward,1335,0.14851200985908505,36.06290099966526
1,backward,1335,0.2615808355808258,64.89750599992274
1,forward,1320,0.14874023365974423,35.73350999987126
1,backward,1320,0.2631035814285278,64.5508710000515
1,forward,1305,0.15001402974128722,35.74327500021458
1,backward,1305,0.26461600613594055,64.61767799985408
1,forward,1290,0.14988193202018735,35.28760499918461
1,backward,1290,0.2661954753398895,64.01543399977683
1,forward,1275,0.15163235878944392,35.388341999888425
1,backward,1275,0.2677860810756683,63.6724439996481
1,forward,1260,0.15292484664916986,35.20257300066948
1,backward,1260,0.26936895775794983,63.02483099949361
1,forward,1245,0.15323966932296754,35.01382499957084
1,backward,1245,0.27105352020263673,62.5440689996481
