model_name,partition_method,batch_size,dp,tp,pp,microbatch_size,num_microbatches,power_limit_0,power_limit_1,power_limit_2,power_limit_3,time,energy,optimal_power_limit
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,300,300,300,300,6.354814670704029,6819.0174444439235,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,275,275,275,275,6.545744878274424,6516.6108518513265,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,250,250,250,250,6.867364627343637,6298.68407407403,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,225,225,225,225,7.572788035428082,6308.962481479954,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,200,200,200,200,8.96258129896941,6661.9672962968,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,175,175,175,175,11.076843606101143,7259.420111109262,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,300,300,300,300,61.54543566703797,68579.61700000007,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,275,275,275,275,63.34208496411642,65368.29033333334,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,250,250,250,250,66.17314132054646,62578.49533333342,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,225,225,225,225,72.49035779635112,61975.483333333315,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,200,200,200,200,85.0212329228719,64569.95066666666,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,175,175,175,175,104.31683444976807,69595.25700000006,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,300,300,300,300,60.095173279444374,66954.79566667476,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,275,275,275,275,62.02395955721537,63685.25899999837,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,250,250,250,250,65.02246014277141,61065.384999995425,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,225,225,225,225,73.32878303527832,61896.984999994434,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,200,200,200,200,87.91865595181783,66010.52066666384,275
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,175,175,175,175,106.298974831899,70646.05900000036,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,300,300,300,300,9.238270618297436,10181.316444443883,250
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,275,275,275,275,9.488496974662498,9660.393222223276,250
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,250,250,250,250,9.854606054447315,9219.798666667055,250
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,225,225,225,225,10.746953390262744,9106.167481481478,250
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,200,200,200,200,12.549309015274046,9475.118333334172,250
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,175,175,175,175,15.467244660412824,10286.311703705125,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,300,300,300,300,11.675523334079319,12835.832166666676,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,275,275,275,275,12.123326328065662,12279.214166666665,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,250,250,250,250,13.00378496117062,12009.089999999986,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,225,225,225,225,14.69310818778144,12246.965111111116,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,200,200,200,200,16.89986774656508,12664.71616666667,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,175,175,175,175,20.896593888600666,13781.650500000002,275
