model_name,partition_method,batch_size,dp,tp,pp,microbatch_size,num_microbatches,power_limit_0,power_limit_1,power_limit_2,power_limit_3,time,energy,heaviest_stage,heaviest_stage_power_limit,optimal_heaviest_stage_power_limit
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,300,225,225,200,7.037829257823803,6255.096592592421,0,300,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,275,225,225,200,7.0942373275756845,6171.800074071796,0,275,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,250,225,225,200,7.20503310804014,6128.973481484034,0,250,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,225,200,200,200,7.838411666728833,6186.798148147485,0,225,275
bert-huge-uncased,"custom:0,8,14,20,26",256,1,1,4,8,32,200,175,175,150,11.162793698134246,7284.30555555666,0,200,275
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,300,225,225,300,61.80979998906453,62767.80000000198,3,300,300
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,275,225,200,275,69.6510435740153,63862.255666668214,3,275,300
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,250,200,200,250,71.68227060635884,62188.91600000113,3,250,300
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,225,200,175,225,84.6677216688792,65567.87399999797,3,225,300
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,200,175,175,200,87.65561238924663,64591.33100000273,3,200,300
bloom-3b,"custom:0,10,18,26,32",512,1,1,4,4,128,175,150,150,175,111.2078492641449,70989.25599999726,3,175,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,225,225,300,250,60.9289698600769,59427.82500000297,2,300,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,225,200,275,225,68.81537834803264,60751.83666665355,2,275,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,225,200,250,225,69.96721402804057,60467.84866666793,2,250,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,200,200,225,200,74.17052833239238,60064.45933333536,2,225,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,175,175,200,175,90.01958290735881,64157.41366666059,2,200,300
gpt3-xl,"custom:0,8,14,21,27",1024,1,1,4,8,128,150,150,175,150,118.59618544578552,72459.51400000353,2,175,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,200,200,200,300,71.60333720842998,61690.425333335996,3,300,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,200,200,200,275,72.48279349009196,61106.48766666651,3,275,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,200,200,200,250,73.42466735839844,60514.13733333349,3,250,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,200,175,175,225,87.21302358309428,64116.627666657165,3,225,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,175,175,175,200,89.84021663665771,63909.559333329395,3,200,300
gpt3-xl,uniform_transformer,1024,1,1,4,8,128,150,150,150,175,117.36478439966838,71760.4949999998,3,175,300
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,300,225,225,225,9.852884963706687,9070.591444444877,0,300,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,275,225,225,225,9.919707315939444,8946.326333333496,0,275,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,250,225,200,200,11.31232014408818,9247.527481481433,0,250,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,225,200,200,200,11.600585707911739,9125.885444442983,0,225,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,200,175,175,175,14.019849194420708,9748.521222222182,0,200,275
t5-3b,"custom:0,16,33,53,74",128,1,1,4,4,32,175,150,150,150,17.9326178850951,10781.548518518606,0,175,275
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,225,275,225,300,13.73800398243798,12598.914777778919,3,300,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,225,250,225,275,13.87864719496833,12335.915666666711,3,275,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,225,250,225,250,13.788726316557993,12172.653111111373,3,250,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,200,225,200,225,16.017429484261406,12686.399333334632,3,225,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,175,200,175,200,19.47117434607612,13636.715333333446,3,200,250
wide-resnet101_8,"custom:0,7,16,25,34",1536,1,1,4,64,24,150,175,150,175,25.248034212324356,15267.28566666651,3,175,250
