model_name,partition_method,batch_size,dp,tp,pp,microbatch_size,num_microbatches,power_limit_0,power_limit_1,power_limit_2,power_limit_3,power_limit_4,power_limit_5,power_limit_6,power_limit_7,time,energy,optimal_power_limit
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,300,300,300,300,300.0,300.0,300.0,300.0,7.955597089396582,14875.13533332944,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,275,275,275,275,275.0,275.0,275.0,275.0,8.14117732975218,14432.176000000702,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,250,250,250,250,250.0,250.0,250.0,250.0,8.397272500726912,13869.460444445413,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,225,225,225,225,225.0,225.0,225.0,225.0,8.79602618349923,13351.590527772903,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,200,200,200,200,200.0,200.0,200.0,200.0,9.554990847905477,13144.517055549553,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,175.0,175.0,175.0,175.0,11.544369578361511,14093.913277776706,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,150,150,150,150,150.0,150.0,150.0,150.0,15.06364764107598,16184.773694449,300
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,125,125,125,125,125.0,125.0,125.0,125.0,22.488045467270744,20639.995416676007,300
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,300,300,300,300,300.0,300.0,300.0,300.0,81.05019581317902,160990.66899994016,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,275,275,275,275,275.0,275.0,275.0,275.0,81.93781983852386,154308.75325000286,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,250,250,250,250,250.0,250.0,250.0,250.0,83.57897156476974,146078.8927500099,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,225,225,225,225,225.0,225.0,225.0,225.0,89.70203506946564,140911.92274999619,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,200,200,200,200,200.0,200.0,200.0,200.0,103.63664054870605,141934.04824995995,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,175,175,175,175,175.0,175.0,175.0,175.0,125.47673439979553,150735.93799999356,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,150,150,150,150,150.0,150.0,150.0,150.0,162.62810015678406,172073.39300002158,250
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,125,125,125,125,125.0,125.0,125.0,125.0,285.5997703075409,252521.5082500577,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,300,300,300,300,300.0,300.0,300.0,300.0,150.73652712504068,314315.08799986047,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,275,275,275,275,275.0,275.0,275.0,275.0,152.7132304509481,300234.18299992883,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,250,250,250,250,250.0,250.0,250.0,250.0,156.98520096143088,284488.33566657704,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,225,225,225,225,225.0,225.0,225.0,225.0,163.6856983502706,268919.8136667013,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,200,200,200,200,200.0,200.0,200.0,200.0,176.7505257924398,259034.43299992877,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,175,175,175.0,175.0,175.0,175.0,209.7727839152018,271254.41266663873,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,150,150,150,150,150.0,150.0,150.0,150.0,277.1195070743561,308005.9706666867,250
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,125,125,125,125,125.0,125.0,125.0,125.0,414.1486523151398,389212.6333333254,250
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,300,300,300,300,0.0,0.0,0.0,0.0,136.38908396164575,567139.558000012,225
