model_name,partition_method,batch_size,dp,tp,pp,microbatch_size,num_microbatches,power_limit_0,power_limit_1,power_limit_2,power_limit_3,time,energy,heaviest_stage,heaviest_stage_power_limit,optimal_heaviest_stage_power_limit,power_limit_4,power_limit_5,power_limit_6,power_limit_7
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,12.29558785094155,14949.213249999615,7,300,200,150.0,150.0,150.0,300.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,12.355737063619825,14888.44811111192,7,275,200,150.0,150.0,150.0,275.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,12.372652139928604,14783.481722214156,7,250,200,150.0,150.0,150.0,250.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,12.409863339530098,14690.491694453687,7,225,200,150.0,150.0,150.0,225.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,175,175,175,175,12.398487256632912,14567.461416676642,7,200,200,150.0,150.0,150.0,200.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,150,150,150,150,12.990689218044283,14664.59861112303,7,175,200,150.0,150.0,150.0,175.0
bert-huge-uncased,uniform_transformer,256,1,1,8,8,32,125,125,125,125,26.87627654605442,23486.8888888773,7,150,200,100.0,125.0,125.0,150.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,200,150,175,175,108.86290776729582,143854.34149995446,7,300,300,150.0,175.0,175.0,300.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,200,150,175,175,116.19490873813629,147359.16474999487,7,275,300,150.0,150.0,150.0,275.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,175,150,150,150,117.4200700521469,145053.22449998558,7,250,300,150.0,150.0,150.0,250.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,175,150,150,150,117.55763632059097,144480.48874995112,7,225,300,150.0,150.0,150.0,225.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,150,125,150,150,172.36134481430054,179392.95350006223,7,200,300,125.0,150.0,125.0,200.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,150,125,125,125,175.55497431755066,177864.39749997854,7,175,300,125.0,125.0,125.0,175.0
bloom-3b,"custom:0,6,10,14,18,22,26,30,32",512,1,1,8,4,128,125,125,125,125,254.4582887291908,229769.76824997365,7,150,300,100.0,125.0,125.0,150.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,175,175,188.71347705523172,270155.96666681767,7,300,225,175.0,175.0,175.0,300.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,175,175,188.840283870697,268110.64266665775,7,275,225,175.0,175.0,175.0,275.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,175,175,188.66687862078348,265494.22233327234,7,250,225,175.0,175.0,175.0,250.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,175,175,188.50609421730042,262367.88966675603,7,225,225,175.0,175.0,175.0,225.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,175,175,150,175,228.40873392422995,286402.13666665554,7,200,225,150.0,175.0,175.0,200.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,150,150,150,150,246.168891509374,290158.6719999711,7,175,225,150.0,150.0,150.0,175.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,125,125,125,150,342.704998254776,347142.7876667579,7,150,225,125.0,150.0,125.0,150.0
gpt3-2.7b,uniform_transformer,1024,1,1,8,4,256,100,100,100,100,506.150817712148,442375.5229999622,7,125,225,100.0,125.0,100.0,125.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,200,175,300,185.31873273849487,540230.4765000045,3,300,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,200,175,275,186.2051671743393,534301.4365000427,3,275,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,200,175,250,186.48393630981445,525852.6495000422,3,250,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,175,175,225,190.61060988903046,517789.5900000036,3,225,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,175,175,200,190.88448429107666,512280.22499996424,3,200,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,175,150,150,175,250.75432467460632,582435.3310000002,3,175,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,150,125,125,150,398.954949259758,774811.6184999496,3,150,200,0.0,0.0,0.0,0.0
gpt3-6.7b,uniform_transformer,512,2,2,4,4,64,125,125,100,125,531.8711533546448,951907.0765000135,3,125,200,0.0,0.0,0.0,0.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,300,150,175,175,28.60162940290239,29598.758222215707,0,300,175,150.0,175.0,175.0,175.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,275,150,175,175,28.97508859634399,29494.949388874902,0,275,175,150.0,150.0,150.0,175.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,250,150,175,175,29.0830948750178,29371.423222184178,0,250,175,150.0,150.0,150.0,175.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,225,150,150,175,26.976233455869888,27575.394666678374,0,225,175,150.0,150.0,150.0,175.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,200,150,150,175,27.421780361069573,27586.663611140517,0,200,175,150.0,150.0,150.0,150.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,175,150,150,150,26.372786588139,26547.292999976213,0,175,175,150.0,150.0,150.0,150.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,150,125,125,150,34.04538230101267,31010.024166637,0,150,175,125.0,125.0,125.0,125.0
t5-3b,"custom:0,9,16,24,33,43,53,63,74",128,1,1,8,4,32,125,100,125,125,45.103608912891815,37502.30788888535,0,125,175,100.0,100.0,100.0,125.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,250,300,175,175,18.368127306302387,28718.544999983576,7,300,225,175.0,175.0,225.0,300.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,250,250,175,175,18.61862035592397,28129.592055598892,7,275,225,175.0,175.0,200.0,275.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,225,225,175,175,17.96127696832021,26536.29038887554,7,250,225,175.0,175.0,200.0,250.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,225,225,175,175,17.931329157617355,26237.905055542786,7,225,225,175.0,175.0,200.0,225.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,200,200,175,175,18.952838367886013,26354.896000007786,7,200,225,175.0,175.0,200.0,200.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,175,175,150,175,22.75821011596256,28308.76911111673,7,175,225,150.0,175.0,175.0,175.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,150,150,125,150,33.019716527726914,34693.44477778011,7,150,225,125.0,150.0,150.0,150.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,125,125,125,125,42.661439034673904,40351.0861666931,7,125,225,125.0,125.0,125.0,125.0
wide-resnet101_8,"custom:0,4,9,13,17,21,25,30,34",1536,1,1,8,32,48,100,100,100,100,70.68586353460948,57600.10211109454,7,100,225,100.0,100.0,100.0,100.0
