dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,1024,adadelta,100,27.130000000000003,106.88881213499654
cifar100,shufflenetv2,1024,adadelta,125,16.85,118.98703190840182
cifar100,shufflenetv2,1024,adadelta,150,11.09,141.60988713420585
cifar100,shufflenetv2,1024,adadelta,175,9.175,160.70821307975328
cifar100,shufflenetv2,1024,adadelta,200,8.8,181.76306303505882
cifar100,shufflenetv2,1024,adadelta,225,8.754999999999999,201.099385437725
cifar100,shufflenetv2,1024,adadelta,250,8.605,209.20839011608982
cifar100,shufflenetv2,1024,adadelta,275,8.605,216.883170103347
cifar100,shufflenetv2,1024,adadelta,300,8.525000000000002,218.86556488095516
cifar100,shufflenetv2,128,adadelta,100,24.55,98.85517644474683
cifar100,shufflenetv2,128,adadelta,125,17.119999999999997,121.77180373760365
cifar100,shufflenetv2,128,adadelta,150,17.725,137.48937323346863
cifar100,shufflenetv2,128,adadelta,175,16.55,147.39840748460887
cifar100,shufflenetv2,128,adadelta,200,16.78,150.20805797781622
cifar100,shufflenetv2,128,adadelta,225,15.775,156.56758301790705
cifar100,shufflenetv2,128,adadelta,250,16.21,155.0064141120636
cifar100,shufflenetv2,128,adadelta,275,17.675,146.00194404138134
cifar100,shufflenetv2,128,adadelta,300,17.95,143.33514199508505
cifar100,shufflenetv2,16,adadelta,100,103.455,94.77513452621335
cifar100,shufflenetv2,16,adadelta,125,113.365,96.7213519856008
cifar100,shufflenetv2,16,adadelta,150,117.30000000000001,95.12352089949728
cifar100,shufflenetv2,16,adadelta,175,117.67,95.79574477857084
cifar100,shufflenetv2,16,adadelta,200,106.595,95.43092203162308
cifar100,shufflenetv2,16,adadelta,225,109.69,95.44869123524059
cifar100,shufflenetv2,16,adadelta,250,112.715,93.68452122475561
cifar100,shufflenetv2,16,adadelta,275,116.435,95.56801073165626
cifar100,shufflenetv2,16,adadelta,300,115.49,96.32799528828944
cifar100,shufflenetv2,2048,adadelta,100,25.77,111.10887925004081
cifar100,shufflenetv2,2048,adadelta,125,19.865000000000002,120.78012418879729
cifar100,shufflenetv2,2048,adadelta,150,11.615,135.58499734827262
cifar100,shufflenetv2,2048,adadelta,175,9.21,146.68210480418156
cifar100,shufflenetv2,2048,adadelta,200,8.85,173.6526700920753
cifar100,shufflenetv2,2048,adadelta,225,8.735,193.54921273804644
cifar100,shufflenetv2,2048,adadelta,250,8.635000000000002,207.98194501376324
cifar100,shufflenetv2,2048,adadelta,275,8.670000000000002,213.35855433454316
cifar100,shufflenetv2,2048,adadelta,300,8.66,213.88803879826122
cifar100,shufflenetv2,256,adadelta,100,26.145,100.98643362820378
cifar100,shufflenetv2,256,adadelta,125,14.675,121.23318402167963
cifar100,shufflenetv2,256,adadelta,150,11.545,142.73351339599478
cifar100,shufflenetv2,256,adadelta,175,10.92,153.9135428821582
cifar100,shufflenetv2,256,adadelta,200,10.614999999999998,176.96241020604862
cifar100,shufflenetv2,256,adadelta,225,10.775,187.77635995251487
cifar100,shufflenetv2,256,adadelta,250,10.795,192.26048408570514
cifar100,shufflenetv2,256,adadelta,275,10.754999999999999,190.40900438478403
cifar100,shufflenetv2,256,adadelta,300,10.705000000000002,187.84913236958056
cifar100,shufflenetv2,32,adadelta,100,59.2,98.47048967995079
cifar100,shufflenetv2,32,adadelta,125,63.665000000000006,101.05421922780535
cifar100,shufflenetv2,32,adadelta,150,57.135,104.65987160510811
cifar100,shufflenetv2,32,adadelta,175,58.28,102.22182418027431
cifar100,shufflenetv2,32,adadelta,200,60.78,102.01064254132264
cifar100,shufflenetv2,32,adadelta,225,59.185,103.68039720714536
cifar100,shufflenetv2,32,adadelta,250,60.745,102.96327299095482
cifar100,shufflenetv2,32,adadelta,275,64.41499999999999,98.30121902366402
cifar100,shufflenetv2,32,adadelta,300,57.37,104.68424370523293
cifar100,shufflenetv2,4096,adadelta,100,26.81,109.04044558146515
cifar100,shufflenetv2,4096,adadelta,125,18.369999999999997,116.3307115179643
cifar100,shufflenetv2,4096,adadelta,150,12.9,134.87211088675957
cifar100,shufflenetv2,4096,adadelta,175,9.875,149.10902289685552
cifar100,shufflenetv2,4096,adadelta,200,9.545,164.03744844438216
cifar100,shufflenetv2,4096,adadelta,225,9.305,181.35300716899485
cifar100,shufflenetv2,4096,adadelta,250,9.315000000000001,194.9976020046753
cifar100,shufflenetv2,4096,adadelta,275,9.129999999999999,204.8966634743058
cifar100,shufflenetv2,4096,adadelta,300,9.185,202.54633696196555
cifar100,shufflenetv2,512,adadelta,100,29.335,106.31162640570739
cifar100,shufflenetv2,512,adadelta,125,15.384999999999998,120.44588509217279
cifar100,shufflenetv2,512,adadelta,150,10.924999999999999,140.94061581941
cifar100,shufflenetv2,512,adadelta,175,9.645,163.3607053335225
cifar100,shufflenetv2,512,adadelta,200,9.48,182.22693306342478
cifar100,shufflenetv2,512,adadelta,225,9.280000000000001,198.25232072548587
cifar100,shufflenetv2,512,adadelta,250,9.245000000000001,209.84057937616043
cifar100,shufflenetv2,512,adadelta,275,9.13,210.36798781044914
cifar100,shufflenetv2,512,adadelta,300,9.14,209.04845034115425
