dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,1024,adadelta,125,17.513333333333335,108.44413421654478
cifar100,shufflenetv2,1024,adadelta,150,16.66,127.4817870695554
cifar100,shufflenetv2,1024,adadelta,175,16.513333333333335,136.78792402073682
cifar100,shufflenetv2,1024,adadelta,200,16.483333333333334,137.09706193513796
cifar100,shufflenetv2,1024,adadelta,225,16.563333333333333,135.91646735184747
cifar100,shufflenetv2,1024,adadelta,250,16.5,136.5254058496581
cifar100,shufflenetv2,128,adadelta,125,28.706666666666663,90.71868288853676
cifar100,shufflenetv2,128,adadelta,150,28.513333333333335,97.6777679046275
cifar100,shufflenetv2,128,adadelta,175,28.163333333333338,99.07316753721845
cifar100,shufflenetv2,128,adadelta,200,28.373333333333335,96.69453334483772
cifar100,shufflenetv2,128,adadelta,225,29.66,95.52626339716933
cifar100,shufflenetv2,128,adadelta,250,31.61,93.40459931764904
cifar100,shufflenetv2,16,adadelta,125,202.41666666666666,55.43126738298264
cifar100,shufflenetv2,16,adadelta,150,203.66,52.775571890811406
cifar100,shufflenetv2,16,adadelta,175,204.33,50.589024425707436
cifar100,shufflenetv2,16,adadelta,200,213.86666666666665,49.29359653863989
cifar100,shufflenetv2,16,adadelta,225,203.81999999999996,52.424233489121434
cifar100,shufflenetv2,16,adadelta,250,203.93666666666664,53.108662473625046
cifar100,shufflenetv2,2048,adadelta,125,17.736666666666665,108.0121715781474
cifar100,shufflenetv2,2048,adadelta,150,16.86666666666667,125.02857911596448
cifar100,shufflenetv2,2048,adadelta,175,16.7,133.5987655682119
cifar100,shufflenetv2,2048,adadelta,200,16.726666666666667,135.58232092775344
cifar100,shufflenetv2,2048,adadelta,225,16.63,135.3605131587866
cifar100,shufflenetv2,2048,adadelta,250,16.64,133.7099589798027
cifar100,shufflenetv2,256,adadelta,125,20.246666666666666,107.10481357477752
cifar100,shufflenetv2,256,adadelta,150,20.16,121.23456335713178
cifar100,shufflenetv2,256,adadelta,175,19.833333333333332,121.20498479410077
cifar100,shufflenetv2,256,adadelta,200,19.55,124.2521913067328
cifar100,shufflenetv2,256,adadelta,225,19.573333333333334,122.1608002567524
cifar100,shufflenetv2,256,adadelta,250,20.486666666666665,120.28658455861975
cifar100,shufflenetv2,32,adadelta,125,102.53333333333332,73.7686940157859
cifar100,shufflenetv2,32,adadelta,150,102.63999999999999,74.44785397570371
cifar100,shufflenetv2,32,adadelta,175,102.52333333333333,73.96160582242
cifar100,shufflenetv2,32,adadelta,200,109.14,72.41175974562701
cifar100,shufflenetv2,32,adadelta,225,105.44666666666667,72.94427399247911
cifar100,shufflenetv2,32,adadelta,250,101.36666666666667,75.03485855820712
cifar100,shufflenetv2,512,adadelta,125,18.083333333333332,108.31078966303038
cifar100,shufflenetv2,512,adadelta,150,17.61,125.46192174481006
cifar100,shufflenetv2,512,adadelta,175,17.849999999999998,130.15376367717764
cifar100,shufflenetv2,512,adadelta,200,17.256666666666664,133.29809239879376
cifar100,shufflenetv2,512,adadelta,225,17.470000000000002,132.50825823841734
cifar100,shufflenetv2,512,adadelta,250,17.47333333333333,132.961341104473
cifar100,shufflenetv2,64,adadelta,125,56.32666666666666,99.73620773986097
cifar100,shufflenetv2,64,adadelta,150,56.88,102.08374174112772
cifar100,shufflenetv2,64,adadelta,175,58.92666666666667,100.2386027451038
cifar100,shufflenetv2,64,adadelta,200,56.376666666666665,102.45929031142829
cifar100,shufflenetv2,64,adadelta,225,56.416666666666664,102.32575430750968
cifar100,shufflenetv2,64,adadelta,250,54.88333333333333,103.90217413147029
cifar100,shufflenetv2,8,adadelta,125,396.67,39.89481221034411
cifar100,shufflenetv2,8,adadelta,150,399.99333333333334,39.72921614613591
cifar100,shufflenetv2,8,adadelta,175,423.37000000000006,39.46073075341986
cifar100,shufflenetv2,8,adadelta,200,419.7833333333333,39.375899114570096
cifar100,shufflenetv2,8,adadelta,225,405.9833333333333,39.767591404532446
cifar100,shufflenetv2,8,adadelta,250,402.56666666666666,39.69696446121858
imagenet,resnet50,128,adadelta,125,7172.45,112.6422234306281
imagenet,resnet50,128,adadelta,150,6678.755,127.56828268887162
imagenet,resnet50,128,adadelta,175,6453.88,143.36287254994897
imagenet,resnet50,128,adadelta,200,6321.525,154.97017707102566
