dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,1024,adadelta,100,11.276666666666666,86.86460850784009
cifar100,shufflenetv2,1024,adam,100,11.086666666666668,91.0042349567595
cifar100,shufflenetv2,1024,adadelta,125,9.216666666666667,109.29691814892352
cifar100,shufflenetv2,1024,adam,125,8.97,106.22992952119247
cifar100,shufflenetv2,1024,adadelta,150,8.493333333333334,130.97053140352136
cifar100,shufflenetv2,1024,adam,150,8.23,130.2852754123749
cifar100,shufflenetv2,1024,adadelta,175,8.213333333333333,137.93655889552275
cifar100,shufflenetv2,1024,adam,175,7.9433333333333325,149.77484737095338
cifar100,shufflenetv2,1024,adadelta,200,7.843333333333334,159.24927087354314
cifar100,shufflenetv2,1024,adam,200,7.656666666666666,159.14955242340832
cifar100,shufflenetv2,1024,adadelta,225,7.670000000000001,178.41662379311774
cifar100,shufflenetv2,1024,adam,225,7.539999999999999,181.11241469640396
cifar100,shufflenetv2,1024,adadelta,250,7.613333333333333,187.68996594563717
cifar100,shufflenetv2,1024,adam,250,7.37,194.9245827266084
cifar100,shufflenetv2,128,adadelta,100,17.30666666666667,83.95331645523709
cifar100,shufflenetv2,128,adam,100,16.066666666666666,82.274953938151
cifar100,shufflenetv2,128,adadelta,125,16.886666666666667,103.75983563429516
cifar100,shufflenetv2,128,adam,125,16.166666666666668,102.0890685677389
cifar100,shufflenetv2,128,adadelta,150,16.7,115.15386804220299
cifar100,shufflenetv2,128,adam,150,15.700000000000001,112.63285906069824
cifar100,shufflenetv2,128,adadelta,175,16.933333333333334,119.69154957416616
cifar100,shufflenetv2,128,adam,175,15.603333333333333,125.19423351587716
cifar100,shufflenetv2,128,adadelta,200,17.29,120.24441489782642
cifar100,shufflenetv2,128,adam,200,16.2,124.65846729971737
cifar100,shufflenetv2,128,adadelta,225,16.97666666666667,119.40419290553957
cifar100,shufflenetv2,128,adam,225,15.57,127.44972742579337
cifar100,shufflenetv2,128,adadelta,250,17.149999999999995,123.09095781815486
cifar100,shufflenetv2,128,adam,250,15.786666666666667,126.01091675753074
cifar100,shufflenetv2,16,adadelta,100,124.33333333333333,41.76227617508027
cifar100,shufflenetv2,16,adam,100,112.53000000000002,42.576044681227955
cifar100,shufflenetv2,16,adadelta,125,124.75666666666666,41.75453500165423
cifar100,shufflenetv2,16,adam,125,115.38333333333333,42.48241678216056
cifar100,shufflenetv2,16,adadelta,150,122.68333333333334,42.00017233421401
cifar100,shufflenetv2,16,adam,150,114.73,42.66156151652766
cifar100,shufflenetv2,16,adadelta,175,124.83666666666666,41.81130319714775
cifar100,shufflenetv2,16,adam,175,115.72000000000001,42.37747925639361
cifar100,shufflenetv2,16,adadelta,200,125.57666666666667,41.90275876090289
