dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.25,6
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.3,8
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.45,18
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.5,21
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.55,29
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.6,74
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,1,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.15,5
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.35,10
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.45,16
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.5,22
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.55,32
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.6,71
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,10,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.2,6
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.25,6
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.3,10
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.4,14
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.5,24
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.55,33
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.6,80
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,2,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.05,2
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.1,2
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.3,10
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.45,16
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.5,20
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.55,34
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.6,71
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,3,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.25,6
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.4,14
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.5,23
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.55,29
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.6,70
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.9,nan
