Time,Power
2022-07-13 02:07:36.708783111,32402
2022-07-13 02:07:36.761689374,32402
2022-07-13 02:07:36.814552346,32312
2022-07-13 02:07:36.867415828,32312
2022-07-13 02:07:36.920248925,32303
2022-07-13 02:07:36.973093072,32303
2022-07-13 02:07:37.027475172,32303
2022-07-13 02:07:37.080302337,32303
2022-07-13 02:07:37.133139111,32401
2022-07-13 02:07:37.187881185,32401
2022-07-13 02:07:37.240764905,32500
2022-07-13 02:07:37.293878160,32313
2022-07-13 02:07:37.347859989,32313
2022-07-13 02:07:37.400744922,32303
2022-07-13 02:07:37.453583869,32303
2022-07-13 02:07:37.507143398,32411
2022-07-13 02:07:37.559991492,32411
2022-07-13 02:07:37.612993040,32303
2022-07-13 02:07:37.667264736,32303
